Epoch40:TrainAccuracy=0.85109,TrainLoss=0.58542,ValidationAccuracy=0.70947,ValidationLoss=1.40350,lr=0.010000000000000002(timeelapsed00:09:43)
Epoch41:TrainAccuracy=0.84569,TrainLoss=0.59842,ValidationAccuracy=0.70412,ValidationLoss=1.31535,lr=0.010000000000000002(timeelapsed00:09:43)
Epoch42:TrainAccuracy=0.85086,TrainLoss=0.57853,ValidationAccuracy=0.70433,ValidationLoss=1.47844,lr=0.010000000000000002(timeelapsed00:09:43)
Epoch43:TrainAccuracy=0.85039,TrainLoss=0.58434,ValidationAccuracy=0.71905,ValidationLoss=1.35796,lr=0.010000000000000002(timeelapsed00:09:48)
Epoch44:TrainAccuracy=0.85266,TrainLoss=0.57150,ValidationAccuracy=0.71025,ValidationLoss=1.31869,lr=0.010000000000000002(timeelapsed00:09:55)
Epoch45:TrainAccuracy=0.85283,TrainLoss=0.56794,ValidationAccuracy=0.67747,ValidationLoss=1.36920,lr=0.010000000000000002(timeelapsed00:14:27)
Epoch46:TrainAccuracy=0.85596,TrainLoss=0.56336,ValidationAccuracy=0.71165,ValidationLoss=1.44165,lr=0.010000000000000002(timeelapsed00:14:51)
Epoch47:TrainAccuracy=0.85896,TrainLoss=0.54776,ValidationAccuracy=0.69867,ValidationLoss=1.34656,lr=0.010000000000000002(timeelapsed00:14:25)
Epoch48:TrainAccuracy=0.86064,TrainLoss=0.54333,ValidationAccuracy=0.70734,ValidationLoss=1.47724,lr=0.010000000000000002(timeelapsed00:14:43)
Epoch49:TrainAccuracy=0.86163,TrainLoss=0.53803,ValidationAccuracy=0.71922,ValidationLoss=1.39688,lr=0.010000000000000002(timeelapsed00:14:56)
Epoch50:TrainAccuracy=0.86590,TrainLoss=0.52031,ValidationAccuracy=0.71510,ValidationLoss=1.46002,lr=0.0010000000000000002(timeelapsed00:14:42)
Epoch51:TrainAccuracy=0.86349,TrainLoss=0.52690,ValidationAccuracy=0.71023,ValidationLoss=1.40375,lr=0.0010000000000000002(timeelapsed00:14:56)
Epoch52:TrainAccuracy=0.87022,TrainLoss=0.50368,ValidationAccuracy=0.71665,ValidationLoss=1.42867,lr=0.0010000000000000002(timeelapsed00:14:47)
